Name,Value
"Старик находился в хорошем расположении духа после дообеденного сна. (Он говорил, что после обеда серебряный сон, а до обеда золотой.) Он РАДОСТНО из-под своих густых нависших бровей косился на сына. Князь Андрей подошел и поцеловал отца в указанное им место. Он не отвечал на любимую тему разговора отца — подтруниванье над теперешними военными людьми, а особенно над Бонапартом.",23
"— Врешь, врешь, — закричал старик, встряхивая косичкою, чтобы попробовать, крепко ли она была заплетена, и хватая сына за руку. — Дом для твоей жены готов. Княжна Марья сведет ее и покажет и с три короба наболтает. Это их бабье дело. Я ей РАД. Сиди, рассказывай. Михельсона армию я понимаю, Толстого тоже... высадка единовременная... Южная армия что будет делать? Пруссия, нейтралитет... это я знаю. Австрия что? — говорил он, встав с кресла и ходя по комнате с бегавшим и подававшим части одежды Тихоном. — Швеция что? Как Померанию перейдут?",23
"— Я РАД, я РАД, — проговорил он и, пристально еще взглянув ей в глаза, быстро отошел и сел на свое место. — Садитесь, садитесь! Михаил Иванович, садитесь.",24
"— Я РАД, я РАД, — проговорил он и, пристально еще взглянув ей в глаза, быстро отошел и сел на свое место. — Садитесь, садитесь! Михаил Иванович, садитесь.",24
"И разговор зашел опять о войне, о Бонапарте и нынешних генералах и государственных людях. Старый князь, казалось, был убежден не только в том, что все теперешние деятели были мальчишки, не смыслившие и азбуки военного и государственного дела, и что Бонапарте был ничтожный французишка, имевший успех только потому, что уже не было Потемкиных и Суворовых противопоставить ему; но он был убежден даже, что никаких политических затруднений не было в Европе, не было и войны, а была какая-то кукольная комедия, в которую играли нынешние люди, притворяясь, что делают дело. Князь Андрей весело выдерживал насмешки отца над новыми людьми и с видимою РАДОСТЬЮ вызывал отца на разговор и слушал его.",24
"— Это кто тебе сказал? Кто сказал? — крикнул князь. — Суворов! — И он отбросил тарелку, которую живо подхватил Тихон. — Суворов!.. Подумавши, князь Андрей. Два: Фридрих и Суворов... Моро! Моро был бы в плену, коли бы у Суворова руки свободны были; а у него на руках сидели хофс-кригс-вурст-шнапс-рат. Ему черт не РАД. Вот пойдете, эти хофс-кригс-вурстраты узнаете! Суворов с ними не сладил, так уж где ж Михаиле Кутузову сладить?! Нет, дружок, — продолжал он, — вам с своими генералами против Бонапарте не обойтись; надо французов взять, чтобы своя своих не познаша и своя своих побиваша. Немца Палена в Новый-Йорк, в Америку, за французом Моро послали, — сказал он, намекая на приглашение, которое в этом году было сделано Моро вступить в русскую службу. — Чудеса!! Что, Потемкины, Суворовы, Орловы разве немцы были? Нет, брат, либо там вы все с ума сошли, либо я из ума выжил. Дай вам Бог, а мы посмотрим. Бонапарте у них стал полководец великий! Гм!..",24
"— Ежели он не в два пуда и шеи не оттянет... Чтобы тебе сделать удовольствие... — сказал князь Андрей, но в ту же секунду, заметив огорченное выражение, которое приняло лицо сестры при этой шутке, он раскаялся. — Очень РАД, право, очень РАД, мой друг, — прибавил он.",25
"— Ежели он не в два пуда и шеи не оттянет... Чтобы тебе сделать удовольствие... — сказал князь Андрей, но в ту же секунду, заметив огорченное выражение, которое приняло лицо сестры при этой шутке, он раскаялся. — Очень РАД, право, очень РАД, мой друг, — прибавил он.",25
"— Вы на меня не претендуйте, Прохор Игнатьич! — сказал полковой командир, объезжая двигавшуюся к месту 3-ю роту и подъезжая к шедшему впереди ее капитану Тимохину. Лицо полкового командира после счастливо отбытого смотра выражало неудержимую РАДОСТЬ. — Служба царская... нельзя... другой раз во фронте оборвешь... Сам извинюсь первый, вы меня знаете... Очень благодарил! — И он протянул руку ротному.",27
"Гусарский корнет Жерков одно время в Петербурге принадлежал к тому буйному обществу, которым руководил Долохов. За границей Жерков встретил Долохова солдатом, но не счел нужным узнать его. Теперь, после разговора Кутузова с разжалованным, он с РАДОСТЬЮ старого друга обратился к нему.",27
"— Я РАД, — отвечал Долохов коротко и ясно, как того требовала песня.",27
"Князь Андрей был один из тех редких офицеров в штабе, который полагал свой главный интерес в общем ходе военного дела. Увидав Мака и услыхав подробности его погибели, он понял, что половина кампании проиграна, понял всю трудность положения русских войск и живо вообразил себе то, что ожидает армию, и ту роль, которую он должен будет играть в ней. Невольно он испытывал волнующее РАДОСТНОЕ чувство при мысли о посрамлении самонадеянной Австрии и о том, что через неделю, может быть, придется ему увидеть и принять участие в столкновении русских с французами, впервые после Суворова. Но он боялся гения Бонапарта, который мог оказаться сильнее всей храбрости русских войск, и вместе с тем не мог допустить позора для своего героя.",28
"Генералы проходили с видом желания избавиться от утруждающих почестей. На лице шутника Жеркова выразилась вдруг глупая улыбка РАДОСТИ, которой он как будто не мог удержать.",28
"Ростов сам так же, как немец, взмахнул фуражкой над головой и, смеясь, закричал: «Und vivat die ganze Welt!» Хотя не было никакой причины к особенной РАДОСТИ ни для немца, вычищавшего свой коровник, ни для Ростова, ездившего со взводом за сеном, оба человека эти с счастливым восторгом и братскою любовью посмотрели друг на друга, потрясли головами в знак взаимной любви и, улыбаясь, разошлись — немец в коровник, а Ростов в избу, которую занимал с Денисовым.",29
"Но эти слова звучали жалобным, отчаянным криком и мольбой о прощении. Как только Ростов услыхал этот звук голоса, с души его свалился огромный камень сомнения. Он почувствовал РАДОСТЬ, и в то же мгновение ему стало жалко несчастного, стоявшего перед ним человека; но надо было до конца довести начатое дело.",29
"Между орудиями, на высоте, стояли впереди начальник ариергарда генерал с свитским офицером, рассматривая в трубу местность. Несколько позади сидел на хоботе орудия Несвицкий, посланный от главнокомандующего к ариергарду. Казак, сопутствовавший Несвицкому, подал сумочку и фляжку, и Несвицкий угощал офицеров пирожками и настоящим доппелькюмелем. Офицеры РАДОСТНО окружали его, кто на коленях, кто сидя по-турецки на мокрой траве.",31
"— Как он его, милый человек, полыхнет прикладом-то в самые зубы... — РАДОСТНО говорил один солдат в высоко подоткнутой шинели, широко размахивая рукой.",32
— Э! Вася! — отвечал РАДОСТНО Несвицкий. — Да ты что?,32
"«Один шаг за эту черту, напоминающую черту, отделяющую живых от мертвых, и — неизвестность, страдания и смерть. И что там? кто там? там, за этим полем, и деревом, и крышей, освещенной солнцем? Никто не знает, и хочется знать; и страшно перейти эту черту, и хочется перейти ее; и знаешь, что рано или поздно придется перейти ее и узнать, что там, по ту сторону смерти. А сам силен, здоров, весел и раздражен и окружен такими здоровыми и раздраженно-оживленными людьми». Так ежели и не думает, то чувствует всякий человек, находящийся в виду неприятеля, и чувство это придает особенный блеск и РАДОСТНУЮ резкость впечатлений всему происходящему в эти минуты.",33
"— Пустячок! — пробасил полковник, — два гусара ранено, и один наповал, — сказал он с видимою РАДОСТЬЮ, не в силах удержаться от счастливой улыбки, звучно отрубая красивое слово наповал.",33
"28-го октября Кутузов с армией перешел на левый берег Дуная и в первый раз остановился, положив Дунай между собой и главными силами французов. 30-го он атаковал находившуюся на левом берегу Дуная дивизию Мортье и разбил ее. В этом деле в первый раз взяты трофеи: знамя, орудия и два неприятельские генерала. В первый раз после двухнедельного отступления русские войска остановились и после борьбы не только удержали поле сражения, но прогнали французов. Несмотря на то, что войска были раздеты, изнурены, на одну треть ослаблены отсталыми, ранеными, убитыми и больными; несмотря на то, что на той стороне Дуная были оставлены больные и раненые с письмом Кутузова, поручавшим их человеколюбию неприятеля; несмотря на то, что большие госпитали и дома в Кремсе, обращенные в лазареты, не могли уже вмещать в себе всех больных и раненых, — несмотря на все это, остановка при Кремсе и победа над Мортье значительно подняли дух войска. Во всей армии и в главной квартире ходили самые РАДОСТНЫЕ, хотя и несправедливые слухи о мнимом приближении колонн из России, о какой-то победе, одержанной австрийцами, и об отступлении испуганного Бонапарта.",34
"Ночь была темная, звездная; дорога чернелась между белевшим снегом, выпавшим накануне, в день сражения. То перебирая впечатления прошедшего сражения, то РАДОСТНО воображая впечатление, которое он произведет известием о победе, вспоминая проводы главнокомандующего и товарищей, князь Андрей скакал в почтовой бричке, испытывая чувство человека, долго ждавшего, и, наконец, достигшего начала желаемого счастия. Как скоро он закрывал глаза, в ушах его раздавалась пальба ружей и орудий, которая сливалась со стуком колес и впечатлением победы. То ему начинало представляться, что русские бегут, что он сам убит; но он поспешно просыпался, со счастием как будто вновь узнавал, что ничего этого не было и что, напротив, французы бежали. Он снова вспоминал все подробности победы, свое спокойное мужество во время сражения и, успокоившись, задремывал... После темной звездной ночи наступило яркое, веселое утро. Снег таял на солнце, лошади быстро скакали, и безразлично вправе и влеве проходили новые разнообразные леса, поля, деревни.",34
"Дежурный флигель-адъютант, встретивший князя Андрея, попросил его подождать и пошел к военному министру. Через пять минут флигель-адъютант вернулся и, особенно учтиво наклонясь и пропуская князя Андрея вперед себя, провел его через коридор в кабинет, где занимался военный министр. Флигель-адъютант своею изысканной учтивостью, казалось, хотел оградить себя от попыток фамильярности русского адъютанта. РАДОСТНОЕ чувство князя Андрея значительно ослабело, когда он подходил к двери кабинета военного министра. Он почувствовал себя оскорбленным, и чувство оскорбления перешло в то же мгновение незаметно для него самого в чувство презрения, ни на чем не основанного. Находчивый же ум в то же мгновение подсказал ему ту точку зрения, с которой он имел право презирать и адъютанта и военного министра. «Им, должно быть, очень легко покажется одерживать победы, не нюхая пороха!» — подумал он. Глаза его презрительно прищурились; он особенно медленно вошел в кабинет военного министра. Чувство это еще более усилилось, когда он увидал военного министра, сидевшего над большим столом и в первые две минуты не обращавшего внимания на вошедшего. Военный министр опустил свою лысую, с седыми висками, голову между двух восковых свечей и читал, отмечая карандашом, бумаги. Он дочитывал, не поднимая головы, в то время как отворилась дверь и послышались шаги.",34
"— Ах, какое несчастие! Дело, вы говорите, решительное? Мортье не взят, однако. (Он подумал.) Очень РАД, что вы привезли хорошие вести, хотя смерть Шмита есть дорогая плата за победу. Его величество, верно, пожелает вас видеть, но не нынче. Благодарю вас, отдохните. Завтра будьте на выходе после паРАДа. Впрочем, я вам дам знать.",34
"— Я знаю, — перебил Билибин, — вы думаете, что очень легко брать маршалов, сидя на диване перед камином. Это правда, а все-таки зачем вы его не взяли? И не удивляйтесь, что не только военный министр, но и августейший император и король Франц не будут очень осчастливлены вашею победой; да и я, несчастный секретарь русского посольства, не чувствую никакой особенной РАДОСТИ...",35
"— Нынче утром был здесь граф Лихтенфельс, — продолжал Билибин, — и показывал мне письмо, в котором подробно описан парад французов в Вене. Le prince Murât et tout le tremblement... 10 Вы видите, что ваша победа не очень-то РАДОСТНА и что вы не можете быть приняты как спаситель...",35
"Он закрыл глаза, но в то же мгновение в ушах его затрещала канонада, пальба, стук колес экипажа, и вот опять спускаются с горы растянутые ниткой мушкетеры, и французы стреляют, и он чувствует, как содрогается его сердце, и он выезжает вперед рядом с Шмитом, и пули весело свистят вокруг него, и он испытывает то чувство удесятеренной РАДОСТИ жизни, какого он не испытывал с самого детства.",35
"— Ну, вот что, господа, — сказал Билибин. — Болконский мой гость в доме и здесь в Брюнне, и я хочу его угостить, сколько могу, всеми РАДОСТЯМИ здешней жизни. Ежели бы мы были в Вене, это было бы легко; но здесь, dans ce vilain trou morave 6, это труднее, и я прошу у всех вас помощи. Il faut lui faire les honneurs de Brunn 7. Вы возьмите на себя театр, я — общество, вы, Ипполит, разумеется, — женщин.",36
"Вопреки словам Билибина, известие, привезенное им, было принято РАДОСТНО. Назначено было благодарственное молебствие. Кутузов был награжден Марией-Терезией большого креста, и вся армия получила награды. Болконский получал приглашения со всех сторон и все утро должен был делать визиты главным сановникам Австрии. Окончив свои визиты в пятом часу вечера, мысленно сочиняя письмо отцу о сражении и о своей поездке в Брюнн, князь Андрей возвращался домой к Билибину. Прежде чем ехать к Билибину, князь Андрей поехал в книжную лавку запастись на поход книгами и засиделся в лавке. У крыльца дома, занимаемого Билибиным, стояла до половины уложенная вещами бричка, и Франц, слуга Билибина, с трудом таща чемодан, вышел из двери.",37
"Выражение «Началось! вот оно!» было даже и на крепком карем лице князя Багратиона с полузакрытыми, мутными, как будто невыспавшимися глазами. Князь Андрей с беспокойным любопытством вглядывался в это неподвижное лицо, и ему хотелось знать, думает ли и чувствует, и что думает, что чувствует этот человек в эту минуту? «Есть ли вообще что-нибудь там, за этим неподвижным лицом?» — спрашивал себя князь Андрей, глядя на него. Князь Багратион наклонил голову, в знак согласия на слова князя Андрея, и сказал «хорошо» с таким выражением, как будто все то, что происходило и что ему сообщали, было именно то, что он уже предвидел. Князь Андрей, запыхавшись от быстроты езды, говорил быстро. Князь Багратион произносил слова с своим восточным акцентом особенно медленно, как бы внушая, что торопиться некуда. Он тронул, однако, рысью свою лошадь по направлению к батарее Тушина. Князь Андрей вместе с свитой поехал за ним. За князем Багратионом ехали: свитский офицер, личный адъютант князя Жерков, ординарец, дежурный штаб-офицер на энглизированной красивой лошади и статский чиновник, аудитор, который из любопытства попросился ехать в сражение. Аудитор, полный мужчина с полным лицом, с наивною улыбкой РАДОСТИ оглядывался вокруг, трясясь на своей лошади, представляя странный вид в своей камлотовой шинели на фурштатском седле, среди гусар, казаков и адъютантов.",42
"Высвободив ногу, он поднялся. «Где, с какой стороны была теперь та черта, которая так резко отделяла два войска?» — спрашивал он себя и не мог ответить. «Уже не дурное ли что-нибудь случилось со мной? Бывают ли такие случаи, и что надо делать в таких случаях?» — спросил он сам себя, вставая; и в это время почувствовал, что что-то лишнее висит на его левой онемевшей руке. Кисть ее была как чужая. Он оглядывал руку, тщетно отыскивая на ней кровь. «Ну, вот и люди, — подумал он РАДОСТНО, увидав несколько человек, бежавших к нему. — Они мне помогут!» Впереди этих людей бежал один в странном кивере и в синей шинели, черный, загорелый, с горбатым носом. Еще два и еще много бежало сзади. Один из них проговорил что-то странное, нерусское. Между задними такими же людьми, в таких же киверах, стоял один русский гусар. Его держали за руки; позади его держали его лошадь.",44
"Из-за детской РАДОСТИ, возбужденной пожаром, и азарта удачной стрельбы по французам наши артиллеристы заметили эту батарею только тогда, когда два ядра и вслед за ними еще четыре ударили между орудиями и одно повалило двух лошадей, а другое оторвало ногу ящичному вожатому. Оживление, раз установившееся, однако, не ослабело, а только переменило настроение. Лошади были заменены другими из запасного лафета, раненые убраны, и четыре орудия повернуты против десятипушечной батареи. Офицер, товарищ Тушина, был убит в начале дела, и в продолжение часа из сорока человек прислуги выбыли семнадцать, но артиллеристы всё так же были веселы и оживлены. Два раза они замечали, что внизу, близко от них, показывались французы, и тогда они били по ним картечью.",45
"— Завтра мы едем, я тебе даю место в своей коляске. Я очень РАД. Здесь у нас все важное покончено. А мне уж давно бы надо. Вот я получил от канцлера. Я его просил о тебе, и ты зачислен в дипломатический корпус и сделан камер-юнкером. Теперь дипломатическая дорога тебе открыта.",47
"Элен улыбнулась с таким видом, который говорил, что она не допускала возможности, чтобы кто-либо мог видеть ее и не быть восхищенным. Тетушка прокашлялась, проглотила слюни и по-французски сказала, что она очень РАДА видеть Элен; потом обратилась к Пьеру с тем же приветствием и с той же миной. В середине скучливого и спотыкающегося разговора Элен оглянулась на Пьера и улыбнулась ему той улыбкой, ясной, красивой, которой она улыбалась всем. Пьер так привык к этой улыбке, так мало она выражала для него, что он не обратил на нее никакого внимания. Тетушка говорила в это время о коллекции табакерок, которая была у покойного отца Пьера, графа Безухова, и показала свою табакерку. Княжна Элен попросила посмотреть портрет мужа тетушки, который был сделан на этой табакерке.",47
"Она обращалась к нему всегда с РАДОСТНОЙ, доверчивой, к нему одному относившейся улыбкой, в которой было что-то значительнее того, что было в общей улыбке, украшавшей всегда ее лицо. Пьер знал, что все ждут только того, чтобы он, наконец, сказал одно слово, переступил через известную черту, и он знал, что он рано или поздно переступит через нее; но какой-то непонятный ужас охватывал его при одной мысли об этом страшном шаге. Тысячи раз в продолжение этого полутора месяца, во время которого он чувствовал себя все дальше и дальше втягиваемым в ту страшившую его пропасть, Пьер говорил себе: «Да что ж это? Нужна решимость! Разве нет у меня ее?»",48
"Князь Василий нахмурился, сморщил рот на сторону, щеки его запрыгали с свойственным ему неприятным, грубым выражением; он, встряхнувшись, встал, закинул назад голову и решительными шагами, мимо дам, прошел в маленькую гостиную. Он скорыми шагами, РАДОСТНО подошел к Пьеру. Лицо князя было так необыкновенно-торжественно, что Пьер испуганно встал, увидав его.",48
