volume,part,chapter,value,paragraph,emphasis,character
Том первый,Часть первая,XIII,13,"— А! Граф Ростов! — радостно заговорил Пьер. — Так вы его сын, Илья. Я, можете себе представить, в первую минуту не узнал вас. Помните, как мы на Воробьевы горы ездили с m-me Jacquot... давно.","— А! Граф Ростов! — РАДОСТНО заговорил Пьер. — Так вы его сын, Илья. Я, можете себе представить, в первую минуту не узнал вас. Помните, как мы на Воробьевы горы ездили с m-me Jacquot... давно.",Пьер Безухов
Том первый,Часть первая,XIII,13,"— Я рад, что высказал все. Может быть, вам неприятно, вы меня извините, — сказал он, успокоивая Пьера, вместо того чтоб быть успокоиваемым им, — но я надеюсь, что не оскорбил вас. Я имею правило говорить все прямо... Как же мне передать? Вы приедете обедать к Ростовым?","— Я РАД, что высказал все. Может быть, вам неприятно, вы меня извините, — сказал он, успокоивая Пьера, вместо того чтоб быть успокоиваемым им, — но я надеюсь, что не оскорбил вас. Я имею правило говорить все прямо... Как же мне передать? Вы приедете обедать к Ростовым?",Пьер Безухов
Том первый,Часть первая,XIII,13,"— Нет, послушайте, — сказал Пьер, успокоиваясь. — Вы удивительный человек. То, что вы сейчас сказали, очень хорошо, очень хорошо. Разумеется, вы меня не знаете. Мы так давно не видались... детьми еще... Вы можете предполагать во мне... Я вас понимаю, очень понимаю. Я бы этого не сделал, у меня недостало бы духу, но это прекрасно. Я очень рад, что познакомился с вами. Странно, — прибавил он, помолчав и улыбаясь, — что вы во мне предполагали! — Он засмеялся. — Ну, да что ж? Мы познакомимся с вами лучше. Пожалуйста. — Он пожал руку Борису. — Вы знаете ли, я ни разу не был у графа. Он меня не звал... Мне его жалко, как человека... Но что же делать?","— Нет, послушайте, — сказал Пьер, успокоиваясь. — Вы удивительный человек. То, что вы сейчас сказали, очень хорошо, очень хорошо. Разумеется, вы меня не знаете. Мы так давно не видались... детьми еще... Вы можете предполагать во мне... Я вас понимаю, очень понимаю. Я бы этого не сделал, у меня недостало бы духу, но это прекрасно. Я очень РАД, что познакомился с вами. Странно, — прибавил он, помолчав и улыбаясь, — что вы во мне предполагали! — Он засмеялся. — Ну, да что ж? Мы познакомимся с вами лучше. Пожалуйста. — Он пожал руку Борису. — Вы знаете ли, я ни разу не был у графа. Он меня не звал... Мне его жалко, как человека... Но что же делать?",Пьер Безухов
Том первый,Часть первая,XXI,21,"Она провела его в темную гостиную, и Пьер рад был, что никто там не видел его лица. Анна Михайловна ушла от него, и, когда она вернулась, он, подложив под голову руку, спал крепким сном.","Она провела его в темную гостиную, и Пьер РАД был, что никто там не видел его лица. Анна Михайловна ушла от него, и, когда она вернулась, он, подложив под голову руку, спал крепким сном.",Пьер Безухов
Том первый,Часть третья,I,47,"Элен улыбнулась с таким видом, который говорил, что она не допускала возможности, чтобы кто-либо мог видеть ее и не быть восхищенным. Тетушка прокашлялась, проглотила слюни и по-французски сказала, что она очень рада видеть Элен; потом обратилась к Пьеру с тем же приветствием и с той же миной. В середине скучливого и спотыкающегося разговора Элен оглянулась на Пьера и улыбнулась ему той улыбкой, ясной, красивой, которой она улыбалась всем. Пьер так привык к этой улыбке, так мало она выражала для него, что он не обратил на нее никакого внимания. Тетушка говорила в это время о коллекции табакерок, которая была у покойного отца Пьера, графа Безухова, и показала свою табакерку. Княжна Элен попросила посмотреть портрет мужа тетушки, который был сделан на этой табакерке.","Элен улыбнулась с таким видом, который говорил, что она не допускала возможности, чтобы кто-либо мог видеть ее и не быть восхищенным. Тетушка прокашлялась, проглотила слюни и по-французски сказала, что она очень РАДА видеть Элен; потом обратилась к Пьеру с тем же приветствием и с той же миной. В середине скучливого и спотыкающегося разговора Элен оглянулась на Пьера и улыбнулась ему той улыбкой, ясной, красивой, которой она улыбалась всем. Пьер так привык к этой улыбке, так мало она выражала для него, что он не обратил на нее никакого внимания. Тетушка говорила в это время о коллекции табакерок, которая была у покойного отца Пьера, графа Безухова, и показала свою табакерку. Княжна Элен попросила посмотреть портрет мужа тетушки, который был сделан на этой табакерке.",Пьер Безухов
Том первый,Часть третья,I,47,"Элен улыбнулась с таким видом, который говорил, что она не допускала возможности, чтобы кто-либо мог видеть ее и не быть восхищенным. Тетушка прокашлялась, проглотила слюни и по-французски сказала, что она очень рада видеть Элен; потом обратилась к Пьеру с тем же приветствием и с той же миной. В середине скучливого и спотыкающегося разговора Элен оглянулась на Пьера и улыбнулась ему той улыбкой, ясной, красивой, которой она улыбалась всем. Пьер так привык к этой улыбке, так мало она выражала для него, что он не обратил на нее никакого внимания. Тетушка говорила в это время о коллекции табакерок, которая была у покойного отца Пьера, графа Безухова, и показала свою табакерку. Княжна Элен попросила посмотреть портрет мужа тетушки, который был сделан на этой табакерке.","Элен улыбнулась с таким видом, который говорил, что она не допускала возможности, чтобы кто-либо мог видеть ее и не быть восхищенным. Тетушка прокашлялась, проглотила слюни и по-французски сказала, что она очень РАДА видеть Элен; потом обратилась к Пьеру с тем же приветствием и с той же миной. В середине скучливого и спотыкающегося разговора Элен оглянулась на Пьера и улыбнулась ему той улыбкой, ясной, красивой, которой она улыбалась всем. Пьер так привык к этой улыбке, так мало она выражала для него, что он не обратил на нее никакого внимания. Тетушка говорила в это время о коллекции табакерок, которая была у покойного отца Пьера, графа Безухова, и показала свою табакерку. Княжна Элен попросила посмотреть портрет мужа тетушки, который был сделан на этой табакерке.",Пьер Безухов
Том первый,Часть третья,II,48,"Она обращалась к нему всегда с радостной, доверчивой, к нему одному относившейся улыбкой, в которой было что-то значительнее того, что было в общей улыбке, украшавшей всегда ее лицо. Пьер знал, что все ждут только того, чтобы он, наконец, сказал одно слово, переступил через известную черту, и он знал, что он рано или поздно переступит через нее; но какой-то непонятный ужас охватывал его при одной мысли об этом страшном шаге. Тысячи раз в продолжение этого полутора месяца, во время которого он чувствовал себя все дальше и дальше втягиваемым в ту страшившую его пропасть, Пьер говорил себе: «Да что ж это? Нужна решимость! Разве нет у меня ее?»","Она обращалась к нему всегда с РАДОСТНОЙ, доверчивой, к нему одному относившейся улыбкой, в которой было что-то значительнее того, что было в общей улыбке, украшавшей всегда ее лицо. Пьер знал, что все ждут только того, чтобы он, наконец, сказал одно слово, переступил через известную черту, и он знал, что он рано или поздно переступит через нее; но какой-то непонятный ужас охватывал его при одной мысли об этом страшном шаге. Тысячи раз в продолжение этого полутора месяца, во время которого он чувствовал себя все дальше и дальше втягиваемым в ту страшившую его пропасть, Пьер говорил себе: «Да что ж это? Нужна решимость! Разве нет у меня ее?»",Пьер Безухов
Том первый,Часть третья,II,48,"Князь Василий нахмурился, сморщил рот на сторону, щеки его запрыгали с свойственным ему неприятным, грубым выражением; он, встряхнувшись, встал, закинул назад голову и решительными шагами, мимо дам, прошел в маленькую гостиную. Он скорыми шагами, радостно подошел к Пьеру. Лицо князя было так необыкновенно-торжественно, что Пьер испуганно встал, увидав его.","Князь Василий нахмурился, сморщил рот на сторону, щеки его запрыгали с свойственным ему неприятным, грубым выражением; он, встряхнувшись, встал, закинул назад голову и решительными шагами, мимо дам, прошел в маленькую гостиную. Он скорыми шагами, РАДОСТНО подошел к Пьеру. Лицо князя было так необыкновенно-торжественно, что Пьер испуганно встал, увидав его.",Пьер Безухов
Том первый,Часть третья,II,48,"— Слава Богу! — сказал он. — Жена мне все сказала! — Он обнял одною рукой Пьера, другою — дочь. — Друг мой Леля! Я очень, очень рад. — Голос его задрожал. — Я любил твоего отца... и она будет тебе хорошая жена... Бог да благословит вас!..","— Слава Богу! — сказал он. — Жена мне все сказала! — Он обнял одною рукой Пьера, другою — дочь. — Друг мой Леля! Я очень, очень РАД. — Голос его задрожал. — Я любил твоего отца... и она будет тебе хорошая жена... Бог да благословит вас!..",Пьер Безухов
Том второй,Часть первая,XII,77,"У Иогеля были самые веселые балы в Москве. Это говорили матушки, глядя на своих adolescentes 1, выделывающих свои только что выученные па; это говорили и сами adolescentes и adolescents 2, танцевавшие до упаду; это говорили взрослые девицы и молодые люди, приезжавшие на эти балы с мыслию снизойти до них и находя в них самое лучшее веселье. В этот же год на этих балах сделалось два брака. Две хорошенькие княжны Горчаковы нашли женихов и вышли замуж, и тем еще более пустили в славу эти балы. Особенного на этих балах было то, что не было хозяина и хозяйки: был, как пух летающий, по правилам искусства расшаркивающийся добродушный Иогель, который принимал билетики за уроки от всех своих гостей; было то, что на эти балы еще езжали только те, кто хотел танцевать и веселиться, как хотят этого тринадцати- и четырнадцатилетние девочки, в первый раз надевающие длинные платья. Все, за редкими исключениями, были или казались хорошенькими: так востороженно они все улыбались и так разгорались их глазки. Иногда танцовывали даже pas de châle лучшие ученицы, из которых лучшая была Наташа, отличавшаяся своею грациозностью; но на этом, последнем бале танцевали только экосезы, англезы и только что входящую в моду мазурку. Зала была взята Иогелем в доме Безухова, и бал очень удался, как говорили все. Много было хорошеньких девочек, Ростовы барышни были из лучших. Они обе были особенно счастливы и веселы в этот вечер. Соня, гордая предложением Долохова, своим отказом и объяснением с Николаем, кружилась еще дома, не давая девушке дочесать свои косы, и теперь насквозь светилась порывистой радостью.","У Иогеля были самые веселые балы в Москве. Это говорили матушки, глядя на своих adolescentes 1, выделывающих свои только что выученные па; это говорили и сами adolescentes и adolescents 2, танцевавшие до упаду; это говорили взрослые девицы и молодые люди, приезжавшие на эти балы с мыслию снизойти до них и находя в них самое лучшее веселье. В этот же год на этих балах сделалось два брака. Две хорошенькие княжны Горчаковы нашли женихов и вышли замуж, и тем еще более пустили в славу эти балы. Особенного на этих балах было то, что не было хозяина и хозяйки: был, как пух летающий, по правилам искусства расшаркивающийся добродушный Иогель, который принимал билетики за уроки от всех своих гостей; было то, что на эти балы еще езжали только те, кто хотел танцевать и веселиться, как хотят этого тринадцати- и четырнадцатилетние девочки, в первый раз надевающие длинные платья. Все, за редкими исключениями, были или казались хорошенькими: так востороженно они все улыбались и так разгорались их глазки. Иногда танцовывали даже pas de châle лучшие ученицы, из которых лучшая была Наташа, отличавшаяся своею грациозностью; но на этом, последнем бале танцевали только экосезы, англезы и только что входящую в моду мазурку. Зала была взята Иогелем в доме Безухова, и бал очень удался, как говорили все. Много было хорошеньких девочек, Ростовы барышни были из лучших. Они обе были особенно счастливы и веселы в этот вечер. Соня, гордая предложением Долохова, своим отказом и объяснением с Николаем, кружилась еще дома, не давая девушке дочесать свои косы, и теперь насквозь светилась порывистой РАДОСТЬЮ.",Пьер Безухов
Том второй,Часть вторая,II,83,"— Ах нет, совсем нет, напротив, я очень рад познакомиться с вами, — сказал Пьер и, взглянув еще раз на руки нового знакомца, ближе рассмотрел перстень. Он увидал на нем адамову голову, знак масонства.","— Ах нет, совсем нет, напротив, я очень РАД познакомиться с вами, — сказал Пьер и, взглянув еще раз на руки нового знакомца, ближе рассмотрел перстень. Он увидал на нем адамову голову, знак масонства.",Пьер Безухов
Том второй,Часть вторая,II,83,"Пьер с замиранием сердца, блестящими глазами Глядя в лицо масона, слушал его, не перебивал, не спрашивал его, а всей душой верил тому, что говорил ему этот чужой человек. Верил ли он тем разумным доводам, которые были в речи масона, или верил, как верят дети, интонациям, убежденности и сердечности, которые были в речи масона, дрожанию голоса, которое иногда почти прерывало масона, или этим блестящим старческим глазам, состарившимся на том же убеждении, или тому спокойствию, твердости и знанию своего назначения, которые светились из всего существа масона и которые особенно сильно поражали его в сравнении с своей опущенностью и безнадежностью, — но он всей душой желал верить, и верил, и испытывал радостное чувство успокоения, обновления и возвращения к жизни.","Пьер с замиранием сердца, блестящими глазами Глядя в лицо масона, слушал его, не перебивал, не спрашивал его, а всей душой верил тому, что говорил ему этот чужой человек. Верил ли он тем разумным доводам, которые были в речи масона, или верил, как верят дети, интонациям, убежденности и сердечности, которые были в речи масона, дрожанию голоса, которое иногда почти прерывало масона, или этим блестящим старческим глазам, состарившимся на том же убеждении, или тому спокойствию, твердости и знанию своего назначения, которые светились из всего существа масона и которые особенно сильно поражали его в сравнении с своей опущенностью и безнадежностью, — но он всей душой желал верить, и верил, и испытывал РАДОСТНОЕ чувство успокоения, обновления и возвращения к жизни.",Пьер Безухов
Том второй,Часть вторая,II,83,"— Да, да, это так! — радостно сказал Пьер.","— Да, да, это так! — РАДОСТНО сказал Пьер.",Пьер Безухов
Том второй,Часть вторая,III,84,"Оставшись один, Пьер продолжал все так же улыбаться. Раза два он пожимал плечами, подносил руку к платку, как бы желая снять его, и опять опускал ее. Пять минут, которые он пробыл с завязанными глазами, показались ему часом. Руки его отекли, ноги подкашивались; ему казалось, что он устал. Он испытывал самые сложные и разнообразные чувства. Ему было и страшно того, что с ним случится, и еще более страшно того, как бы ему не выказать страха. Ему было любопытно узнать, что будет с ним, что откроется ему; но более всего ему было радостно, что наступила минута, когда он, наконец, вступит на тот путь обновления и деятельно-добродетельной жизни, о котором он мечтал со времени своей встречи с Осипом Алексеевичем. В дверь послышались сильные удары, Пьер снял повязку и оглянулся вокруг себя. В комнате было черно-темно: только в одном месте горела лампада в чем-то белом. Пьер подошел ближе и увидал, что лампада стояла на черном столе, на котором лежала одна раскрытая книга. Книга была Евангелие; то белое, в чем горела лампада, был человеческий череп с своими дырами и зубами. Прочтя первые слова Евангелия: «В начале бе слово и слово бе к Богу», Пьер обошел стол и увидал большой, наполненный чем-то и открытый ящик. Это был гроб с костями. Его нисколько не удивило то, что он увидал. Надеясь вступить в совершенно новую жизнь, совершенно отличную от прежней, он ожидал всего необыкновенного, еще более необыкновенного, чем то, что он видел. Череп, гроб, Евангелие — ему казалось, что он ожидал всего этого, ожидал еще бо́льшего. Стараясь вызвать в себе чувство умиленья, он смотрел вокруг себя. «Бог, смерть, любовь, братство людей», — говорил он себе, связывая с этими словами смутные, но радостные представления чего-то. Дверь отворилась, и кто-то вошел.","Оставшись один, Пьер продолжал все так же улыбаться. Раза два он пожимал плечами, подносил руку к платку, как бы желая снять его, и опять опускал ее. Пять минут, которые он пробыл с завязанными глазами, показались ему часом. Руки его отекли, ноги подкашивались; ему казалось, что он устал. Он испытывал самые сложные и разнообразные чувства. Ему было и страшно того, что с ним случится, и еще более страшно того, как бы ему не выказать страха. Ему было любопытно узнать, что будет с ним, что откроется ему; но более всего ему было РАДОСТНО, что наступила минута, когда он, наконец, вступит на тот путь обновления и деятельно-добродетельной жизни, о котором он мечтал со времени своей встречи с Осипом Алексеевичем. В дверь послышались сильные удары, Пьер снял повязку и оглянулся вокруг себя. В комнате было черно-темно: только в одном месте горела лампада в чем-то белом. Пьер подошел ближе и увидал, что лампада стояла на черном столе, на котором лежала одна раскрытая книга. Книга была Евангелие; то белое, в чем горела лампада, был человеческий череп с своими дырами и зубами. Прочтя первые слова Евангелия: «В начале бе слово и слово бе к Богу», Пьер обошел стол и увидал большой, наполненный чем-то и открытый ящик. Это был гроб с костями. Его нисколько не удивило то, что он увидал. Надеясь вступить в совершенно новую жизнь, совершенно отличную от прежней, он ожидал всего необыкновенного, еще более необыкновенного, чем то, что он видел. Череп, гроб, Евангелие — ему казалось, что он ожидал всего этого, ожидал еще бо́льшего. Стараясь вызвать в себе чувство умиленья, он смотрел вокруг себя. «Бог, смерть, любовь, братство людей», — говорил он себе, связывая с этими словами смутные, но радостные представления чего-то. Дверь отворилась, и кто-то вошел.",Пьер Безухов
Том второй,Часть вторая,III,84,"«Да, это должно быть так, — думал Пьер, когда после этих слов ритор снова ушел от него, оставляя его уединенному размышлению. — Это должно быть так, но я еще так слаб, что люблю свою жизнь, которой смысл только теперь понемногу открывается мне». Но остальные пять добродетелей, которые, перебирая по пальцам, вспомнил Пьер, он чувствовал в душе своей: и мужество, и щедрость, и добронравие, и любовь к человечеству, и в особенности повиновение, которое даже не представлялось ему добродетелью, а счастьем. (Ему так радостно было теперь избавиться от своего произвола и подчинить свою волю тому и тем, которые знали несомненную истину.) Седьмую добродетель Пьер забыл и никак не мог вспомнить ее.","«Да, это должно быть так, — думал Пьер, когда после этих слов ритор снова ушел от него, оставляя его уединенному размышлению. — Это должно быть так, но я еще так слаб, что люблю свою жизнь, которой смысл только теперь понемногу открывается мне». Но остальные пять добродетелей, которые, перебирая по пальцам, вспомнил Пьер, он чувствовал в душе своей: и мужество, и щедрость, и добронравие, и любовь к человечеству, и в особенности повиновение, которое даже не представлялось ему добродетелью, а счастьем. (Ему так РАДОСТНО было теперь избавиться от своего произвола и подчинить свою волю тому и тем, которые знали несомненную истину.) Седьмую добродетель Пьер забыл и никак не мог вспомнить ее.",Пьер Безухов
Том второй,Часть вторая,IV,85,"Молчание это было прервано одним из братьев, который, подведя Пьера к ковру, начал из тетради читать ему объяснение всех изображенных на нем фигур: солнца, луны, молотка, отвеса, лопаты, дикого и кубического камня, столба, трех окон и т. д. Потом Пьеру назначили его место, показали ему знаки ложи, сказали входное слово и, наконец, позволили сесть. Великий мастер начал читать устав. Устав был очень длинен, и Пьер от радости, волнения и стыда не был в состоянии понимать того, что читали. Он вслушался только в последние слова устава, которые запомнились ему.","Молчание это было прервано одним из братьев, который, подведя Пьера к ковру, начал из тетради читать ему объяснение всех изображенных на нем фигур: солнца, луны, молотка, отвеса, лопаты, дикого и кубического камня, столба, трех окон и т. д. Потом Пьеру назначили его место, показали ему знаки ложи, сказали входное слово и, наконец, позволили сесть. Великий мастер начал читать устав. Устав был очень длинен, и Пьер от РАДОСТИ, волнения и стыда не был в состоянии понимать того, что читали. Он вслушался только в последние слова устава, которые запомнились ему.",Пьер Безухов
Том второй,Часть вторая,IV,85,"Пьер со слезами радости на глазах смотрел вокруг себя, не зная, что отвечать на поздравления и возобновления знакомств, с которыми окружили его. Он не признавал никаких знакомств; во всех людях этих он видел только братьев, с которыми сгорал нетерпением приняться за дело.","Пьер со слезами РАДОСТИ на глазах смотрел вокруг себя, не зная, что отвечать на поздравления и возобновления знакомств, с которыми окружили его. Он не признавал никаких знакомств; во всех людях этих он видел только братьев, с которыми сгорал нетерпением приняться за дело.",Пьер Безухов
Том второй,Часть вторая,V,86,"На другой день после приема в ложу Пьер сидел дома, читая книгу и стараясь вникнуть в значение квадрата, изображавшего одной своей стороною Бога, другою нравственное, третьею физическое и четвертою смешанное. Изредка он отрывался от книги и квадрата и в воображении своем составлял себе новый план жизни. Вчера в ложе ему сказали, что до сведения государя дошел слух о дуэли и что Пьеру благоразумнее было бы удалиться из Петербурга. Пьер предполагал ехать в свои южные имения и заняться там своими крестьянами. Он радостно обдумывал эту новую жизнь, когда неожиданно в комнату вошел князь Василий.","На другой день после приема в ложу Пьер сидел дома, читая книгу и стараясь вникнуть в значение квадрата, изображавшего одной своей стороною Бога, другою нравственное, третьею физическое и четвертою смешанное. Изредка он отрывался от книги и квадрата и в воображении своем составлял себе новый план жизни. Вчера в ложе ему сказали, что до сведения государя дошел слух о дуэли и что Пьеру благоразумнее было бы удалиться из Петербурга. Пьер предполагал ехать в свои южные имения и заняться там своими крестьянами. Он РАДОСТНО обдумывал эту новую жизнь, когда неожиданно в комнату вошел князь Василий.",Пьер Безухов
Том второй,Часть вторая,X,91,"Южная весна, покойное, быстрое путешествие в венской коляске и уединение дороги радостно действовали на Пьера. Имения, в которых он не бывал еще, были одно живописнее другого; народ везде представлялся благоденствующим и трогательно-благодарным за сделанные ему благодеяния. Везде были встречи, которые хотя и приводили в смущение Пьера, но в глубине души его вызывали радостное чувство. В одном месте мужики подносили ему хлеб-соль и образ Петра и Павла и просили позволения в честь его ангела Петра и Павла, в знак любви и благодарности за сделанные им благодеяния воздвигнуть на свой свет новый придел в церкви. В другом месте его встретили женщины с грудными детьми, благодаря его за избавление от тяжелых работ. В третьем имении его встречал священник с крестом, окруженный детьми, которых он, по милостям графа, обучал грамоте и религии. Во всех именьях Пьер видел своими глазами по одному плану воздвигавшиеся и воздвигнутые уже каменные здания больниц, школ, богаделен, которые должны были быть в скором времени открыты. Везде Пьер видел отчеты управляющих о барщинских работах, уменьшенных против прежнего, и слышал за то трогательные благодарения депутаций крестьян в синих кафтанах.","Южная весна, покойное, быстрое путешествие в венской коляске и уединение дороги РАДОСТНО действовали на Пьера. Имения, в которых он не бывал еще, были одно живописнее другого; народ везде представлялся благоденствующим и трогательно-благодарным за сделанные ему благодеяния. Везде были встречи, которые хотя и приводили в смущение Пьера, но в глубине души его вызывали РАДОСТНОе чувство. В одном месте мужики подносили ему хлеб-соль и образ Петра и Павла и просили позволения в честь его ангела Петра и Павла, в знак любви и благодарности за сделанные им благодеяния воздвигнуть на свой свет новый придел в церкви. В другом месте его встретили женщины с грудными детьми, благодаря его за избавление от тяжелых работ. В третьем имении его встречал священник с крестом, окруженный детьми, которых он, по милостям графа, обучал грамоте и религии. Во всех именьях Пьер видел своими глазами по одному плану воздвигавшиеся и воздвигнутые уже каменные здания больниц, школ, богаделен, которые должны были быть в скором времени открыты. Везде Пьер видел отчеты управляющих о барщинских работах, уменьшенных против прежнего, и слышал за то трогательные благодарения депутаций крестьян в синих кафтанах.",Пьер Безухов
Том второй,Часть вторая,XI,92,"— Вот не ждал, очень рад, — сказал князь Андрей. Пьер ничего не говорил; он удивленно, не спуская глаз, смотрел на своего друга. Его поразила происшедшая перемена в князе Андрее. Слова были ласковы, улыбка была на губах и лице князя Андрея, но взгляд был потухший, мертвый, которому, несмотря на видимое желание, князь Андрей не мог придать радостного и веселого блеска. Не то что похудел, побледнел, возмужал его друг; но взгляд этот и морщинка на лбу, выражавшие долгое сосредоточение на чем-то одном, поражали и отчуждали Пьера, пока он не привык к ним.","— Вот не ждал, очень РАД, — сказал князь Андрей. Пьер ничего не говорил; он удивленно, не спуская глаз, смотрел на своего друга. Его поразила происшедшая перемена в князе Андрее. Слова были ласковы, улыбка была на губах и лице князя Андрея, но взгляд был потухший, мертвый, которому, несмотря на видимое желание, князь Андрей не мог придать РАДостного и веселого блеска. Не то что похудел, побледнел, возмужал его друг; но взгляд этот и морщинка на лбу, выражавшие долгое сосредоточение на чем-то одном, поражали и отчуждали Пьера, пока он не привык к ним.",Пьер Безухов
