characters,text,volume,part,chapter
Пьер Безухов; Андрей Болконский,"Князь Андрей вздохнул и лучистым, детским, нежным взглядом взглянул в раскрасневшееся ВОСТОРЖЕННОЕ, но все робкое перед первенствующим другом, лицо Пьера.",Том второй,Часть вторая,XII
Пьер Безухов; Андрей Болконский,"— Да, коли бы это так было! — сказал он. — Однако пойдем садиться, — прибавил князь Андрей, и, выходя с парома, он поглядел на небо, на которое указал ему Пьер, и в первый раз после Аустерлица он увидал то высокое, вечное небо, которое он видел, лежа на Аустерлицком поле, и что-то давно заснувшее, что-то лучшее, что было в нем, вдруг РАДОСТНО и молодо проснулось в его душе. Чувство это исчезло, как скоро князь Андрей вступил опять в привычные условия жизни, но он знал, что это чувство, которое он не умел развить, жило в нем. Свидание с Пьером было для князя Андрея эпохой, с которой началась хотя во внешности и та же самая, но во внутреннем мире его новая жизнь.",Том второй,Часть вторая,XII
Николай Ростов; Марья; Пьер Безухов; Андрей Болконский,"Пьер теперь только, в свой приезд в Лысые Горы, оценил всю силу и прелесть своей дружбы с князем Андреем. Эта прелесть выразилась не столько в его отношениях с ним самим, сколько в отношениях со всеми родными и домашними. Пьер с старым, суровым князем и с кроткой и робкой княжной Марьей, несмотря на то, что он их почти не знал, чувствовал себя сразу старым другом. Они все уже любили его. Не только княжна Марья, подкупленная его кроткими отношениями к странницам, самым лучистым взглядом смотрела на него; но маленький, годовой князь Николай, как звал дед, улыбнулся Пьеру и пошел к нему на руки. Михаил Иваныч, m-lle Bourienne с РАДОСТНЫМИ улыбками смотрели на него, когда он разговаривал с старым князем.",Том второй,Часть вторая,XIV
Наташа; Андрей Болконский,"В продолжение скучного дня, во время которого князя Андрея занимали старшие хозяева и почетнейшие из гостей, которыми по случаю приближающихся именин был полон дом старого графа, Болконский, несколько раз взглядывая на Наташу, чему-то смеявшуюся, веселившуюся между другой, молодой половиной общества, все спрашивал себя: «О чем она думает? Чему она так РАДА?»",Том второй,Часть третья,II
Пьер Безухов; Андрей Болконский,"«Да, здесь, в этом лесу, был этот дуб, с которым мы были согласны, — подумал князь Андрей. — Да где он? » — подумал опять князь Андрей, глядя на левую сторону дороги и, сам того не зная, не узнавая его, любовался тем дубом, которого он искал. Старый дуб, весь преображенный, раскинувшись шатром сочной, темной зелени, млел, чуть колыхаясь в лучах вечернего солнца. Ни корявых пальцев, ни болячек, ни старого горя и недоверия — ничего не было видно. Сквозь столетнюю жесткую кору пробились без сучков сочные, молодые листья, так что верить нельзя было, что это старик произвел их. «Да это тот самый дуб», — подумал князь Андрей, и на него вдруг нашло беспричинное весеннее чувство РАДОСТИ и обновления. Все лучшие минуты его жизни вдруг в одно и то же время вспомнились ему. И Аустерлиц с высоким небом, и мертвое укоризненное лицо жены, и Пьер на пароме, и девочка, взволнованная красотою ночи, и эта ночь, и луна — и все это вдруг вспомнилось ему.",Том второй,Часть третья,III
Пьер Безухов; Андрей Болконский,"Возвратившись из этой поездки, князь Андрей решил осенью ехать в Петербург и придумал разные причины этого решения. Целый ряд разумных, логических доводов, почему ему необходимо ехать в Петербург и даже служить, ежеминутно был готов к его услугам. Он даже теперь не понимал, как мог он когда-нибудь сомневаться в необходимости принять деятельное участие в жизни, точно так же как месяц тому назад он не понимал, как могла бы ему прийти мысль уехать из деревни. Ему казалось ясно, что все его опыты жизни должны были пропасть даром и быть бессмыслицей, ежели бы он не приложил их к делу и не принял опять деятельного участия в жизни. Он даже не понимал того, как на основании таких же бедных разумных доводов прежде очевидно было, что он бы унизился, ежели бы теперь, после своих уроков жизни, опять бы поверил в возможность приносить пользу и в возможность СЧАСТИЯ и любви. Теперь разум подсказывал совсем другое. После этой поездки князь Андрей стал скучать в деревне, прежние занятия не интересовали его, и часто, сидя один в своем кабинете, он вставал, подходил к зеркалу и долго смотрел на свое лицо. Потом он отворачивался и смотрел на портрет покойницы Лизы, которая с взбитыми à la grecque буклями нежно и весело смотрела на него из золотой рамки. Она уже не говорила мужу прежних страшных слов, она просто и весело с любопытством смотрела на него. И князь Андрей, заложив назад руки, долго ходил по комнате, то хмурясь, то улыбаясь, передумывая те неразумные, невыразимые словом, тайные, как преступление, мысли, связанные с Пьером, с славой, с девушкой на окне, с дубом, с женской красотой и любовью, которые изменили всю его жизнь. И в эти-то минуты, когда кто входил к нему, он бывал особенно сух, строг, решителен и в особенности неприятно логичен.",Том второй,Часть третья,III
Наташа; Андрей Болконский,"— Я имею удовольствие быть знакомым, ежели графиня помнит меня, — сказал князь Андрей с учтивым и низким поклоном, совершенно противоречащим замечаниям Перонской о его грубости, подходя к Наташе и занося руку, чтоб обнять ее талию еще прежде, чем он договорил приглашение на танец. Он предложил ей тур вальса. То замирающее выражение лица Наташи, готовое на отчаяние и на ВОСТОРГ, вдруг осветилось СЧАСТЛИВОЙ, благодарной, детской улыбкой.",Том второй,Часть третья,XVI
Наташа; Андрей Болконский,"«Давно я ждала тебя», — как будто сказала эта испуганная и СЧАСТЛИВАЯ девочка своей просиявшей из-за готовых слез улыбкой, поднимая свою руку на плечо князя Андрея. Они были вторая пара, вошедшая в круг. Князь Андрей был одним из лучших танцоров своего времени. Наташа танцевала превосходно. Ножки ее в бальных атласных башмачках быстро, легко и независимо от нее делали свое дело, а лицо ее сияло ВОСТОРГОМ СЧАСТИЯ. Ее оголенные шея и руки были худы и некрасивы в сравнении с плечами Элен. Ее плечи были худы, грудь неопределенна, руки тонки; но на Элен был уже как будто лак от всех тысяч взглядов, скользивших по ее телу, а Наташа казалась девочкой, которую в первый раз оголили и которой бы очень стыдно это было, ежели бы ее не уверили, что это так необходимо надо.",Том второй,Часть третья,XVI
Соня; Наташа; Андрей Болконский,"После князя Андрея к Наташе подошел Борис, приглашая ее на танцы, подошел и тот танцор-адъютант, начавший бал, и еще молодые люди, и Наташа, передавая своих излишних кавалеров Соне, СЧАСТЛИВАЯ и раскрасневшаяся, не переставала танцевать целый вечер. Она ничего не заметила и не видала из того, что занимало всех на этом бале. Она не только не заметила, как государь долго говорил с французским посланником, как он особенно милостиво говорил с такой-то дамой, как принц такой-то и такой-то сделали и сказали то-то, как Элен имела большой успех и удостоилась особенного внимания такого-то; она не видала даже государя и заметила, что он уехал, только потому, что после его отъезда бал более оживился. Один из веселых котильонов, перед ужином, князь Андрей опять танцевал с Наташей. Он напомнил ей о их первом свиданье в отрадненской аллее и о том, как она не могла заснуть в лунную ночь и как он невольно слышал ее. Наташа покраснела при этом напоминании и старалась оправдаться, как будто было что-то стыдное в том чувстве, в котором невольно подслушал ее князь Андрей.",Том второй,Часть третья,XVII
Наташа; Андрей Болконский,"Князь Андрей, как все люди, выросшие в свете, любил встречать в свете то, что не имело на себе общего светского отпечатка. И такова была Наташа, с ее удивлением, РАДОСТЬЮ, и робостью, и даже ошибками во французском языке. Он особенно нежно и бережно обращался и говорил с нею. Сидя подле нее, разговаривая с нею о самых простых и ничтожных предметах, князь Андрей любовался на РАДОСТНЫЙ блеск ее глаз и улыбки, относившейся не к говоренным речам, а к ее внутреннему СЧАСТИЮ. В то время как Наташу выбирали и она с улыбкой вставала и танцевала по зале, князь Андрей любовался в особенности на ее робкую грацию. В середине котильона Наташа, окончив фигуру, еще тяжело дыша, подходила к своему месту. Новый кавалер опять пригласил ее. Она устала и запыхалась и, видимо, подумала отказаться, но тотчас опять весело подняла руку на плечо кавалера и улыбнулась князю Андрею.",Том второй,Часть третья,XVII
Наташа; Андрей Болконский,"— Так весело, как никогда в жизни! — сказала она, и князь Андрей заметил, как быстро поднялись было ее худые руки, чтоб обнять отца, и тотчас же опустились. Наташа была так СЧАСТЛИВА, как никогда еще в жизни. Она была на той высшей ступени СЧАСТИЯ, когда человек делается вполне добр и хорош и не верит в возможность зла, неСЧАСТИЯ и горя.",Том второй,Часть третья,XVII
Николай Ростов; Андрей Болконский,"На другой день князь Андрей вспомнил вчерашний бал, но ненадолго остановился на нем мыслью: «Да, очень блестящий был бал. И еще... да, Ростова очень мила. Что-то в ней есть свежее, особенное, непетербургское, отличающее ее». Вот все, что он думал о вчерашнем бале, и, напившись чаю, сел за работу. Но от усталости или бессонницы день был нехороший для занятий, и князь Андрей ничего не мог делать, он все критиковал сам свою работу, как это часто с ним бывало, и РАД был, когда услыхал, что кто-то приехал.",Том второй,Часть третья,XVIII
Наташа; Андрей Болконский,"После обеда Наташа, по просьбе князя Андрея, пошла к клавикордам и стала петь. Князь Андрей стоял у окна, разговаривая с дамами, и слушал ее. В середине фразы князь Андрей замолчал и почувствовал неожиданно, что к его горлу подступают слезы, возможность которых он не знал за собой. Он посмотрел на поющую Наташу, и в душе его произошло что-то новое и СЧАСТЛИВОЕ. Он был СЧАСТЛИВ, и ему вместе с тем было грустно. Ему решительно не о чем было плакать, но он готов был плакать? О чем? О прежней любви? О маленькой княгине? О своих разочарованиях?.. О своих надеждах на будущее? Да и нет. Главное, о чем ему хотелось плакать, была вдруг живо сознанная им страшная противоположность между чем-то бесконечно великим и неопределимым, бывшим в нем, и чем-то узким и телесным, чем был он сам и даже была она. Эта противоположность томила и РАДОВАЛА его во время ее пения.",Том второй,Часть третья,XIX
Николай Ростов; Пьер Безухов; Андрей Болконский,"Князь Андрей поздно вечером уехал от Ростовых. Он лег спать по привычке ложиться, но увидал скоро, что он не может спать. Он то, зажегши свечу, сидел в постели, то вставал, то опять ложился, нисколько не тяготясь бессонницей: так РАДОСТНО и ново ему было на душе, как будто он из душной комнаты вышел на вольный свет Божий. Ему и в голову не приходило, чтоб он был влюблен в Ростову; он не думал о ней; он только воображал ее себе, и вследствие этого вся жизнь его представлялась ему в новом свете. «Из чего я бьюсь, из чего я хлопочу в этой узкой, замкнутой рамке, когда жизнь, вся жизнь со всеми ее РАДОСТЯМИ открыта мне?» — говорил он себе. И он в первый раз после долгого времени стал делать СЧАСТЛИВЫЕ планы на будущее. Он решил сам собой, что ему надо заняться воспитанием своего сына, найдя ему воспитателя и поручив ему; потом надо выйти в отставку и ехать за границу, видеть Англию, Швейцарию, Италию. «Мне надо пользоваться своей свободой, пока так много в себе чувствую силы и молодости, — говорил он сам себе. — Пьер был прав, говоря, что надо верить в возможность СЧАСТИЯ, чтобы быть СЧАСТЛИВЫМ, и я теперь верю в него. Оставим мертвым хоронить мертвых, а пока жив, надо жить и быть СЧАСТЛИВЫМ», — думал он.",Том второй,Часть третья,XIX
Соня; Наташа; Андрей Болконский,"Все в доме чувствовали, для кого ездил князь Андрей, и он, не скрывая, целый день старался быть с Наташей. Не только в душе Наташи, испуганной, но СЧАСТЛИВОЙ и ВОСТОРЖЕННОЙ, но во всем доме чувствовался страх перед чем-то важным, имеющим совершиться. Графиня печальными и серьезно-строгими глазами смотрела на князя Андрея, когда он говорил с Наташей, и робко и притворно начинала какой-нибудь ничтожный разговор, как скоро он оглядывался на нее. Соня боялась уйти от Наташи и боялась быть помехой, когда она была с ними. Наташа бледнела от страха ожидания, когда она на минуту оставалась с ним с глазу на глаз. Князь Андрей поражал ее своей робостью. Она чувствовала, что ему нужно было сказать ей что-то, но что он не мог на это решиться.",Том второй,Часть третья,XXII
Пьер Безухов; Андрей Болконский,"Князь Андрей с сияющим, ВОСТОРЖЕННЫМ и обновленным к жизни лицом остановился перед Пьером и, не замечая его печального лица, с эгоизмом СЧАСТИЯ улыбнулся ему.",Том второй,Часть третья,XXII
Пьер Безухов; Андрей Болконский,"— Ну, ну, говорите, я очень РАД, — говорил Пьер, и действительно лицо его изменилось, морщина разгладилась, и он РАДостно слушал князя Андрея. Князь Андрей казался и был совсем другим, новым человеком. Где была его тоска, его презрение к жизни, его разочарованность? Пьер был единственный человек, перед которым он решался высказаться; но за то ему он уже высказывал все, что у него было на душе. То он легко и смело делал планы на продолжительное будущее, говорил о том, как он не может пожертвовать своим СЧАСТЬЕМ для каприза своего отца, как он заставит отца согласиться на этот брак и полюбить ее или обойдется без его согласия, то он удивлялся, как на что-то странное, чуждое, от него не зависящее, на то чувство, которое владело им.",Том второй,Часть третья,XXII
Николай Ростов; Наташа; Андрей Болконский; Соня,"Старый граф иногда подходил к князю Андрею, целовал его, спрашивал у него совета насчет воспитания Пети или службы Николая. Старая графиня вздыхала, глядя на них. Соня боялась всякую минуту быть лишней и старалась находить предлоги оставлять их одних, когда им этого и не нужно было. Когда князь Андрей говорил (он очень хорошо рассказывал), Наташа с гордостью слушала его; когда она говорила, то со страхом и РАДОСТЬЮ замечала, что он внимательно и испытующе смотрит на нее. Она с недоумением спрашивала себя; «Что он ищет во мне? Чего-то он добивается своим взглядом? Что, как нет во мне того, что он ищет этим взглядом?» Иногда она входила в свойственное ей безумно-веселое расположение духа, и тогда она особенно любила слушать и смотреть, как князь Андрей смеялся. Он редко смеялся, но зато когда он смеялся, то отдавался весь своему смеху, и всякий раз после этого смеха она чувствовала себя ближе к нему. Наташа была бы совершенно СЧАСТЛИВА, ежели бы мысль о предстоящей и приближающейся разлуке не пугала ее.",Том второй,Часть третья,XXIV
Николай Ростов; Марья; Андрей Болконский,"Здоровье и характер князя Николая Андреевича Болконского в этот последний год после отъезда сына очень ослабели. Он сделался еще более раздражителен, чем прежде, и все вспышки его беспричинного гнева большей частью обрушивались на княжну Марью. Он как будто старательно изыскивал все самые больные места ее, чтобы как можно жесточе нравственно мучить ее. У княжны Марьи были две страсти и потому две РАДОСТИ: племянник Николушка и религия, и обе были любимыми темами нападений и насмешек князя. О чем бы ни говорили, он сводил разговор на суеверия старых девок или на баловство и порчу детей. «Тебе хочется его (Николушку) сделать такой же старой девкой, как сама; напрасно: князю Андрею нужно сына, а не девку», — говорил он. Или, обращаясь к mademoiselle Bourienne, он спрашивал ее при княжне Марье, как ей нравятся наши попы и образа, и шутил...",Том второй,Часть третья,XXV
Николай Ростов; Марья; Андрей Болконский,"В середине лета княжна Марья получила неожиданное письмо от князя Андрея из Швейцарии, в котором он сообщал ей странную и неожиданную новость. Князь Андрей объявлял о своей помолвке с Ростовой. Все письмо его дышало любовной ВОСТОРЖЕННОСТЬЮ к своей невесте и нежной дружбой и доверием к сестре. Он писал, что никогда он не любил так, как любит теперь, и что теперь только понял и узнал жизнь. Он просил сестру простить его за то, что в свой приезд в Лысые Горы он ничего не сказал ей об этом решении, хотя и говорил об этом с отцом. Он не сказал ей этого потому, что княжна Марья стала бы просить отца дать свое согласие и, не достигнув бы цели, раздражила бы отца и на себе бы понесла всю тяжесть его неудовольствия. Впрочем, писал он, тогда еще дело было не так окончательно решено, как теперь.",Том второй,Часть третья,XXVI
Марья; Андрей Болконский,"Николушка и его воспитание, André и религия были утешениями и РАДОСТЯМИ княжны Марьи; но, кроме того, так как каждому человеку нужны свои личные надежды, у княжны Марьи была в самой глубокой тайне ее души скрытая мечта и надежда, доставлявшая ей главное утешение в ее жизни. Утешительную мечту и надежду эту дали ей Божьи люди — юродивые и странники, посещавшие ее тайно от князя. Чем больше жила княжна Марья, чем больше испытывала она жизнь и наблюдала ее, тем более удивляла ее близорукость людей, ищущих здесь, на земле, наслаждений и СЧАСТЬЯ; трудящихся, страдающих, борющихся и делающих зло друг другу для достижения этого невозможного, призрачного и порочного СЧАСТИЯ. «Князь Андрей любил жену, она умерла, ему мало этого, он хочет связать свое СЧАСТИЕ с другой женщиной. Отец не хочет этого, потому что желает для Андрея более знатного и богатого супружества. И все они борются, и страдают, и мучают, и портят свою душу, свою вечную душу, для достижения благ, которым срок есть мгновенье. Мало того, что мы сами знаем это, — Христос, сын Бога, сошел на землю и сказал нам, что эта жизнь есть мгновенная жизнь, испытание, а мы всё держимся за нее и думаем в ней найти СЧАСТЬЕ. Как никто не понял этого? — думала княжна Марья. — Никто, кроме этих презренных Божьих людей, которые с сумками за плечами приходят ко мне с заднего крыльца, боясь попасться на глаза князю, и не для того, чтобы не пострадать от него, а для того, чтобы его не ввести в грех. Оставить семью, родину, все заботы о мирских благах для того, чтобы, не прилепляясь ни к чему, ходить в посконном рубище, под чужим именем с места на место, не делая вреда людям и молясь за них, молясь и за тех, которые гонят, и за тех, которые покровительствуют: выше этой истины и жизни нет истины и жизни!»",Том второй,Часть третья,XXVI
