character,volume,part,chapter,value,paragraph,emphasis,keywords,keytokens,emotionwords
Андрей Болконский,Том второй,Часть третья,XXII,124,"Наташе казалось, что еще когда она в первый раз увидала князя Андрея в Отрадном, она влюбилась в него. Ее как будто пугало это странное, неожиданное счастье, что тот, кого она выбрала еще тогда (она твердо была уверена в этом), что тот самый теперь опять встретился ей и, как кажется, неравнодушен к ней. «И надо было ему нарочно теперь, когда мы здесь, приехать в Петербург. И надо было нам встретиться на этом бале. Все это судьба. Ясно, что это судьба, что все это велось к этому. Еще тогда, как только я увидала его, я почувствовала что-то особенное».","Наташе казалось, что еще когда она в первый раз увидала князя Андрея в Отрадном, она влюбилась в него. Ее как будто пугало это странное, неожиданное СЧАСТЬЕ, что тот, кого она выбрала еще тогда (она твердо была уверена в этом), что тот самый теперь опять встретился ей и, как кажется, неравнодушен к ней. «И надо было ему нарочно теперь, когда мы здесь, приехать в Петербург. И надо было нам встретиться на этом бале. Все это судьба. Ясно, что это судьба, что все это велось к этому. Еще тогда, как только я увидала его, я почувствовала что-то особенное».",счастие,счастье,счастье
Андрей Болконский,Том второй,Часть третья,XXII,124,"Князь Андрей с сияющим, восторженным и обновленным к жизни лицом остановился перед Пьером и, не замечая его печального лица, с эгоизмом счастия улыбнулся ему.","Князь Андрей с сияющим, ВОСТОРЖЕННЫМ и обновленным к жизни лицом остановился перед Пьером и, не замечая его печального лица, с эгоизмом СЧАСТИЯ улыбнулся ему.",счастие; восторженный,восторженным;счастия,восторг;счастье
Андрей Болконский,Том второй,Часть третья,XXII,124,"— Ну, ну, говорите, я очень рад, — говорил Пьер, и действительно лицо его изменилось, морщина разгладилась, и он радостно слушал князя Андрея. Князь Андрей казался и был совсем другим, новым человеком. Где была его тоска, его презрение к жизни, его разочарованность? Пьер был единственный человек, перед которым он решался высказаться; но за то ему он уже высказывал все, что у него было на душе. То он легко и смело делал планы на продолжительное будущее, говорил о том, как он не может пожертвовать своим счастьем для каприза своего отца, как он заставит отца согласиться на этот брак и полюбить ее или обойдется без его согласия, то он удивлялся, как на что-то странное, чуждое, от него не зависящее, на то чувство, которое владело им.","— Ну, ну, говорите, я очень РАД, — говорил Пьер, и действительно лицо его изменилось, морщина разгладилась, и он РАДостно слушал князя Андрея. Князь Андрей казался и был совсем другим, новым человеком. Где была его тоска, его презрение к жизни, его разочарованность? Пьер был единственный человек, перед которым он решался высказаться; но за то ему он уже высказывал все, что у него было на душе. То он легко и смело делал планы на продолжительное будущее, говорил о том, как он не может пожертвовать своим СЧАСТЬЕМ для каприза своего отца, как он заставит отца согласиться на этот брак и полюбить ее или обойдется без его согласия, то он удивлялся, как на что-то странное, чуждое, от него не зависящее, на то чувство, которое владело им.",счастие; радостно; рад,радостно;рад;счастьем,счастье;радость
Андрей Болконский,Том второй,Часть третья,XXII,124,"— Я бы не поверил тому, кто бы мне сказал, что я могу так любить, — говорил князь Андрей. — Это совсем не то чувство, которое было у меня прежде. Весь мир разделен для меня на две половины: одна — она, и там все счастье, надежда, свет; другая половина — все, где ее нет, там все уныние и темнота...","— Я бы не поверил тому, кто бы мне сказал, что я могу так любить, — говорил князь Андрей. — Это совсем не то чувство, которое было у меня прежде. Весь мир разделен для меня на две половины: одна — она, и там все СЧАСТЬЕ, надежда, свет; другая половина — все, где ее нет, там все уныние и темнота...",счастие,счастье,счастье
Андрей Болконский,Том второй,Часть третья,XXIII,125,"Князь Андрей держал ее руку, смотрел ей в глаза и не находил в своей душе прежней любви к ней. В душе его вдруг повернулось что-то: не было прежней поэтической и таинственной прелести желания, а была жалость к ее женской и детской слабости, был страх перед ее преданностью и доверчивостью, тяжелое и вместе радостное сознание долга, навеки связавшего его с нею. Настоящее чувство, хотя и не было так светло и поэтично, как прежде, было серьезнее и сильнее.","Князь Андрей держал ее руку, смотрел ей в глаза и не находил в своей душе прежней любви к ней. В душе его вдруг повернулось что-то: не было прежней поэтической и таинственной прелести желания, а была жалость к ее женской и детской слабости, был страх перед ее преданностью и доверчивостью, тяжелое и вместе РАДОСТНОЕ сознание долга, навеки связавшего его с нею. Настоящее чувство, хотя и не было так светло и поэтично, как прежде, было серьезнее и сильнее.",радостное,радостное,радость
Андрей Болконский,Том второй,Часть третья,XXIII,125,"— Как ни тяжел мне будет этот год, отсрочивающий мое счастие, — продолжал князь Андрей, — в этот срок вы поверите себя. Я прошу вас через год сделать мое счастие; но вы свободны: помолвка наша останется тайной, и ежели вы убедились бы, что вы не любите меня, или полюбили бы... — сказал князь Андрей с неестественной улыбкой.","— Как ни тяжел мне будет этот год, отсрочивающий мое СЧАСТИЕ, — продолжал князь Андрей, — в этот срок вы поверите себя. Я прошу вас через год сделать мое СЧАСТИЕ; но вы свободны: помолвка наша останется тайной, и ежели вы убедились бы, что вы не любите меня, или полюбили бы... — сказал князь Андрей с неестественной улыбкой.",счастие,счастие,счастье
Андрей Болконский,Том второй,Часть третья,XXIV,126,"Старый граф иногда подходил к князю Андрею, целовал его, спрашивал у него совета насчет воспитания Пети или службы Николая. Старая графиня вздыхала, глядя на них. Соня боялась всякую минуту быть лишней и старалась находить предлоги оставлять их одних, когда им этого и не нужно было. Когда князь Андрей говорил (он очень хорошо рассказывал), Наташа с гордостью слушала его; когда она говорила, то со страхом и радостью замечала, что он внимательно и испытующе смотрит на нее. Она с недоумением спрашивала себя; «Что он ищет во мне? Чего-то он добивается своим взглядом? Что, как нет во мне того, что он ищет этим взглядом?» Иногда она входила в свойственное ей безумно-веселое расположение духа, и тогда она особенно любила слушать и смотреть, как князь Андрей смеялся. Он редко смеялся, но зато когда он смеялся, то отдавался весь своему смеху, и всякий раз после этого смеха она чувствовала себя ближе к нему. Наташа была бы совершенно счастлива, ежели бы мысль о предстоящей и приближающейся разлуке не пугала ее.","Старый граф иногда подходил к князю Андрею, целовал его, спрашивал у него совета насчет воспитания Пети или службы Николая. Старая графиня вздыхала, глядя на них. Соня боялась всякую минуту быть лишней и старалась находить предлоги оставлять их одних, когда им этого и не нужно было. Когда князь Андрей говорил (он очень хорошо рассказывал), Наташа с гордостью слушала его; когда она говорила, то со страхом и РАДОСТЬЮ замечала, что он внимательно и испытующе смотрит на нее. Она с недоумением спрашивала себя; «Что он ищет во мне? Чего-то он добивается своим взглядом? Что, как нет во мне того, что он ищет этим взглядом?» Иногда она входила в свойственное ей безумно-веселое расположение духа, и тогда она особенно любила слушать и смотреть, как князь Андрей смеялся. Он редко смеялся, но зато когда он смеялся, то отдавался весь своему смеху, и всякий раз после этого смеха она чувствовала себя ближе к нему. Наташа была бы совершенно СЧАСТЛИВА, ежели бы мысль о предстоящей и приближающейся разлуке не пугала ее.",счастливый; радость,радостью;счастлива,счастье;радость
Андрей Болконский,Том второй,Часть третья,XXV,127,"Здоровье и характер князя Николая Андреевича Болконского в этот последний год после отъезда сына очень ослабели. Он сделался еще более раздражителен, чем прежде, и все вспышки его беспричинного гнева большей частью обрушивались на княжну Марью. Он как будто старательно изыскивал все самые больные места ее, чтобы как можно жесточе нравственно мучить ее. У княжны Марьи были две страсти и потому две радости: племянник Николушка и религия, и обе были любимыми темами нападений и насмешек князя. О чем бы ни говорили, он сводил разговор на суеверия старых девок или на баловство и порчу детей. «Тебе хочется его (Николушку) сделать такой же старой девкой, как сама; напрасно: князю Андрею нужно сына, а не девку», — говорил он. Или, обращаясь к mademoiselle Bourienne, он спрашивал ее при княжне Марье, как ей нравятся наши попы и образа, и шутил...","Здоровье и характер князя Николая Андреевича Болконского в этот последний год после отъезда сына очень ослабели. Он сделался еще более раздражителен, чем прежде, и все вспышки его беспричинного гнева большей частью обрушивались на княжну Марью. Он как будто старательно изыскивал все самые больные места ее, чтобы как можно жесточе нравственно мучить ее. У княжны Марьи были две страсти и потому две РАДОСТИ: племянник Николушка и религия, и обе были любимыми темами нападений и насмешек князя. О чем бы ни говорили, он сводил разговор на суеверия старых девок или на баловство и порчу детей. «Тебе хочется его (Николушку) сделать такой же старой девкой, как сама; напрасно: князю Андрею нужно сына, а не девку», — говорил он. Или, обращаясь к mademoiselle Bourienne, он спрашивал ее при княжне Марье, как ей нравятся наши попы и образа, и шутил...",радость,радости,радость
Андрей Болконский,Том второй,Часть третья,XXV,127,"Ваша потеря так ужасна, что я иначе не могу себе объяснить ее, как особенной милостью Бога, который хочет испытать — любя вас — вас и вашу превосходную мать. Ах, мой друг, религия, и только одна религия, может нас уже не говорю утешить, но избавить от отчаяния; одна религия может объяснить нам то, чего без ее помощи не может понять человек: для чего, зачем существа добрые, возвышенные, умеющие находить счастие в жизни, никому не только не вредящие, но необходимые для счастия других, — призываются к Богу, а остаются жить злые, бесполезные, вредные или такие, которые в тягость себе и другим. Первая смерть, которую я видела и которую никогда не забуду, — смерть моей милой невестки, произвела на меня такое впечатление. Точно так же, как и вы спрашиваете судьбу, для чего было умирать вашему прекрасному брату, точно так же спрашивала я, для чего было умирать этому ангелу — Лизе, которая не только не сделала какого-нибудь зла человеку, но никогда, кроме добрых мыслей, не имела в своей душе. И что ж, мой друг? вот прошло с тех пор пять лет, и я, с своим ничтожным умом, уже начинаю ясно понимать, для чего ей нужно было умереть и каким образом эта смерть была только выражением бесконечной благости Творца, все действия которого, хотя мы их большею частью не понимаем, суть только проявления его бесконечной любви к своему творению. Может быть, я часто думаю, она была слишком ангельски невинна для того, чтоб иметь силу перенести все обязанности матери. Она была безупречна как молодая жена; может быть, она не могла бы быть такою матерью. Теперь, мало того, что она оставила нам, и в особенности князю Андрею, самое чистое сожаление и воспоминание, она там, вероятно, получит то место, которого я не смею надеяться для себя. Но, не говоря уже о ней одной, эта ранняя и страшная смерть имела самое благотворное влияние, несмотря на всю печаль, на меня и на брата. Тогда, в минуту потери, эти мысли не могли прийти мне; тогда я с ужасом отогнала бы их, но теперь это так ясно и несомненно. Пишу все это вам, мой друг, только для того, чтоб убедить вас в евангельской истине, сделавшейся для меня жизненным правилом: ни один волос с головы нашей не упадет без его воли. А воля его руководствуется только одною беспредельною любовью к нам, и потому все, что ни случается с нами, все для нашего блага. Вы спрашиваете, проведем ли мы следующую зиму в Москве? Несмотря на все желание вас видеть, не думаю и не желаю этого. И вы удивитесь, что причиною тому Буонапарте. И вот почему: здоровье отца моего заметно слабеет: он не может переносить противоречий и делается раздражителен. Раздражительность эта, как вы знаете, обращена преимущественно на политические дела. Он не может перенести мысли о том, что Буонапарте ведет дело как с равными со всеми государями Европы и в особенности с нашим, внуком великой Екатерины! Как вы знаете, я совершенно равнодушна к политическим делам, но из слов моего отца и разговоров его с Михаилом Ивановичем, я знаю все, что делается в мире, и в особенности все почести, воздаваемые Буонапарте, которого, как кажется, еще только в Лысых Горах на всем земном шаре не признают ни великим человеком, ни еще меньше французским императором. И мой отец не может переносить этого. Мне кажется, что мой отец, преимущественно вследствие своего взгляда на политические дела и предвидя столкновения, которые у него будут вследствие его манеры, не стесняясь ни с кем высказывать свои мнения, неохотно говорит о поездке в Москву. Все, что он выиграет от лечения, он потеряет вследствие споров о Буонапарте, которые неминуемы. Во всяком случае, это решится очень скоро. Семейная жизнь наша идет по-старому, за исключением присутствия брата Андрея. Он, как я уже писала вам, очень изменился последнее время. После его горя он теперь только, в нынешнем году, совершенно нравственно ожил. Он стал таким, каким я его знала ребенком: добрым, нежным, с тем золотым сердцем, которому я не знаю равного. Он понял, как мне кажется, что жизнь для него не кончена. Но вместе с этою нравственной переменой он физически очень ослабел. Он стал худее, чем прежде, нервнее. Я боюсь за него и рада, что он предпринял эту поездку за границу, которую доктора уже давно предписывали ему. Я надеюсь, что это поправит его. Вы мне пишете, что в Петербурге о нем говорят как об одном из самых деятельных, образованных и умных молодых людей. Простите за самолюбие родства — я никогда в этом не сомневалась. Нельзя счесть добро, которое он здесь сделал всем, начиная от своих мужиков и до дворян. Приехав в Петербург, он взял только то, что ему следовало. Удивляюсь, каким образом вообще доходят слухи из Петербурга в Москву, и особенно такие неверные, как тот, о котором вы мне пишете, — слух о мнимой женитьбе брата на маленькой Ростовой. Я не думаю, чтоб Андрей когда-нибудь женился на ком бы то ни было и в особенности на ней. И вот почему: во-первых, я знаю, что хотя он и редко говорит о покойной жене, но печаль этой потери слишком глубоко вкоренилась в его сердце, чтобы когда-нибудь он решился дать ей преемницу и мачеху нашему маленькому ангелу. Во-вторых, потому, что, сколько я знаю, эта девушка совсем не из того разряда женщин, которые могут нравиться князю Андрею. Не думаю, чтобы князь Андрей выбрал ее своею женою, и откровенно скажу: я не желаю этого. Но я заболталась, кончаю свой второй листок. Прощайте, мой милый друг; да сохранит вас Бог под своим святым и могучим покровом. Моя милая подруга, mademoiselle Bourienne, целует вас.","Ваша потеря так ужасна, что я иначе не могу себе объяснить ее, как особенной милостью Бога, который хочет испытать — любя вас — вас и вашу превосходную мать. Ах, мой друг, религия, и только одна религия, может нас уже не говорю утешить, но избавить от отчаяния; одна религия может объяснить нам то, чего без ее помощи не может понять человек: для чего, зачем существа добрые, возвышенные, умеющие находить СЧАСТИЕ в жизни, никому не только не вредящие, но необходимые для СЧАСТИЯ других, — призываются к Богу, а остаются жить злые, бесполезные, вредные или такие, которые в тягость себе и другим. Первая смерть, которую я видела и которую никогда не забуду, — смерть моей милой невестки, произвела на меня такое впечатление. Точно так же, как и вы спрашиваете судьбу, для чего было умирать вашему прекрасному брату, точно так же спрашивала я, для чего было умирать этому ангелу — Лизе, которая не только не сделала какого-нибудь зла человеку, но никогда, кроме добрых мыслей, не имела в своей душе. И что ж, мой друг? вот прошло с тех пор пять лет, и я, с своим ничтожным умом, уже начинаю ясно понимать, для чего ей нужно было умереть и каким образом эта смерть была только выражением бесконечной благости Творца, все действия которого, хотя мы их большею частью не понимаем, суть только проявления его бесконечной любви к своему творению. Может быть, я часто думаю, она была слишком ангельски невинна для того, чтоб иметь силу перенести все обязанности матери. Она была безупречна как молодая жена; может быть, она не могла бы быть такою матерью. Теперь, мало того, что она оставила нам, и в особенности князю Андрею, самое чистое сожаление и воспоминание, она там, вероятно, получит то место, которого я не смею надеяться для себя. Но, не говоря уже о ней одной, эта ранняя и страшная смерть имела самое благотворное влияние, несмотря на всю печаль, на меня и на брата. Тогда, в минуту потери, эти мысли не могли прийти мне; тогда я с ужасом отогнала бы их, но теперь это так ясно и несомненно. Пишу все это вам, мой друг, только для того, чтоб убедить вас в евангельской истине, сделавшейся для меня жизненным правилом: ни один волос с головы нашей не упадет без его воли. А воля его руководствуется только одною беспредельною любовью к нам, и потому все, что ни случается с нами, все для нашего блага. Вы спрашиваете, проведем ли мы следующую зиму в Москве? Несмотря на все желание вас видеть, не думаю и не желаю этого. И вы удивитесь, что причиною тому Буонапарте. И вот почему: здоровье отца моего заметно слабеет: он не может переносить противоречий и делается раздражителен. Раздражительность эта, как вы знаете, обращена преимущественно на политические дела. Он не может перенести мысли о том, что Буонапарте ведет дело как с равными со всеми государями Европы и в особенности с нашим, внуком великой Екатерины! Как вы знаете, я совершенно равнодушна к политическим делам, но из слов моего отца и разговоров его с Михаилом Ивановичем, я знаю все, что делается в мире, и в особенности все почести, воздаваемые Буонапарте, которого, как кажется, еще только в Лысых Горах на всем земном шаре не признают ни великим человеком, ни еще меньше французским императором. И мой отец не может переносить этого. Мне кажется, что мой отец, преимущественно вследствие своего взгляда на политические дела и предвидя столкновения, которые у него будут вследствие его манеры, не стесняясь ни с кем высказывать свои мнения, неохотно говорит о поездке в Москву. Все, что он выиграет от лечения, он потеряет вследствие споров о Буонапарте, которые неминуемы. Во всяком случае, это решится очень скоро. Семейная жизнь наша идет по-старому, за исключением присутствия брата Андрея. Он, как я уже писала вам, очень изменился последнее время. После его горя он теперь только, в нынешнем году, совершенно нравственно ожил. Он стал таким, каким я его знала ребенком: добрым, нежным, с тем золотым сердцем, которому я не знаю равного. Он понял, как мне кажется, что жизнь для него не кончена. Но вместе с этою нравственной переменой он физически очень ослабел. Он стал худее, чем прежде, нервнее. Я боюсь за него и РАДА, что он предпринял эту поездку за границу, которую доктора уже давно предписывали ему. Я надеюсь, что это поправит его. Вы мне пишете, что в Петербурге о нем говорят как об одном из самых деятельных, образованных и умных молодых людей. Простите за самолюбие родства — я никогда в этом не сомневалась. Нельзя счесть добро, которое он здесь сделал всем, начиная от своих мужиков и до дворян. Приехав в Петербург, он взял только то, что ему следовало. Удивляюсь, каким образом вообще доходят слухи из Петербурга в Москву, и особенно такие неверные, как тот, о котором вы мне пишете, — слух о мнимой женитьбе брата на маленькой Ростовой. Я не думаю, чтоб Андрей когда-нибудь женился на ком бы то ни было и в особенности на ней. И вот почему: во-первых, я знаю, что хотя он и редко говорит о покойной жене, но печаль этой потери слишком глубоко вкоренилась в его сердце, чтобы когда-нибудь он решился дать ей преемницу и мачеху нашему маленькому ангелу. Во-вторых, потому, что, сколько я знаю, эта девушка совсем не из того разряда женщин, которые могут нравиться князю Андрею. Не думаю, чтобы князь Андрей выбрал ее своею женою, и откровенно скажу: я не желаю этого. Но я заболталась, кончаю свой второй листок. Прощайте, мой милый друг; да сохранит вас Бог под своим святым и могучим покровом. Моя милая подруга, mademoiselle Bourienne, целует вас.",счастие; рад,счастие;рада;счастия,счастье;радость
Андрей Болконский,Том второй,Часть третья,XXVI,128,"В середине лета княжна Марья получила неожиданное письмо от князя Андрея из Швейцарии, в котором он сообщал ей странную и неожиданную новость. Князь Андрей объявлял о своей помолвке с Ростовой. Все письмо его дышало любовной восторженностью к своей невесте и нежной дружбой и доверием к сестре. Он писал, что никогда он не любил так, как любит теперь, и что теперь только понял и узнал жизнь. Он просил сестру простить его за то, что в свой приезд в Лысые Горы он ничего не сказал ей об этом решении, хотя и говорил об этом с отцом. Он не сказал ей этого потому, что княжна Марья стала бы просить отца дать свое согласие и, не достигнув бы цели, раздражила бы отца и на себе бы понесла всю тяжесть его неудовольствия. Впрочем, писал он, тогда еще дело было не так окончательно решено, как теперь.","В середине лета княжна Марья получила неожиданное письмо от князя Андрея из Швейцарии, в котором он сообщал ей странную и неожиданную новость. Князь Андрей объявлял о своей помолвке с Ростовой. Все письмо его дышало любовной ВОСТОРЖЕННОСТЬЮ к своей невесте и нежной дружбой и доверием к сестре. Он писал, что никогда он не любил так, как любит теперь, и что теперь только понял и узнал жизнь. Он просил сестру простить его за то, что в свой приезд в Лысые Горы он ничего не сказал ей об этом решении, хотя и говорил об этом с отцом. Он не сказал ей этого потому, что княжна Марья стала бы просить отца дать свое согласие и, не достигнув бы цели, раздражила бы отца и на себе бы понесла всю тяжесть его неудовольствия. Впрочем, писал он, тогда еще дело было не так окончательно решено, как теперь.",восторженность,восторженностью,восторг
Андрей Болконский,Том второй,Часть третья,XXVI,128,"Николушка и его воспитание, André и религия были утешениями и радостями княжны Марьи; но, кроме того, так как каждому человеку нужны свои личные надежды, у княжны Марьи была в самой глубокой тайне ее души скрытая мечта и надежда, доставлявшая ей главное утешение в ее жизни. Утешительную мечту и надежду эту дали ей Божьи люди — юродивые и странники, посещавшие ее тайно от князя. Чем больше жила княжна Марья, чем больше испытывала она жизнь и наблюдала ее, тем более удивляла ее близорукость людей, ищущих здесь, на земле, наслаждений и счастья; трудящихся, страдающих, борющихся и делающих зло друг другу для достижения этого невозможного, призрачного и порочного счастия. «Князь Андрей любил жену, она умерла, ему мало этого, он хочет связать свое счастие с другой женщиной. Отец не хочет этого, потому что желает для Андрея более знатного и богатого супружества. И все они борются, и страдают, и мучают, и портят свою душу, свою вечную душу, для достижения благ, которым срок есть мгновенье. Мало того, что мы сами знаем это, — Христос, сын Бога, сошел на землю и сказал нам, что эта жизнь есть мгновенная жизнь, испытание, а мы всё держимся за нее и думаем в ней найти счастье. Как никто не понял этого? — думала княжна Марья. — Никто, кроме этих презренных Божьих людей, которые с сумками за плечами приходят ко мне с заднего крыльца, боясь попасться на глаза князю, и не для того, чтобы не пострадать от него, а для того, чтобы его не ввести в грех. Оставить семью, родину, все заботы о мирских благах для того, чтобы, не прилепляясь ни к чему, ходить в посконном рубище, под чужим именем с места на место, не делая вреда людям и молясь за них, молясь и за тех, которые гонят, и за тех, которые покровительствуют: выше этой истины и жизни нет истины и жизни!»","Николушка и его воспитание, André и религия были утешениями и РАДОСТЯМИ княжны Марьи; но, кроме того, так как каждому человеку нужны свои личные надежды, у княжны Марьи была в самой глубокой тайне ее души скрытая мечта и надежда, доставлявшая ей главное утешение в ее жизни. Утешительную мечту и надежду эту дали ей Божьи люди — юродивые и странники, посещавшие ее тайно от князя. Чем больше жила княжна Марья, чем больше испытывала она жизнь и наблюдала ее, тем более удивляла ее близорукость людей, ищущих здесь, на земле, наслаждений и СЧАСТЬЯ; трудящихся, страдающих, борющихся и делающих зло друг другу для достижения этого невозможного, призрачного и порочного СЧАСТИЯ. «Князь Андрей любил жену, она умерла, ему мало этого, он хочет связать свое СЧАСТИЕ с другой женщиной. Отец не хочет этого, потому что желает для Андрея более знатного и богатого супружества. И все они борются, и страдают, и мучают, и портят свою душу, свою вечную душу, для достижения благ, которым срок есть мгновенье. Мало того, что мы сами знаем это, — Христос, сын Бога, сошел на землю и сказал нам, что эта жизнь есть мгновенная жизнь, испытание, а мы всё держимся за нее и думаем в ней найти СЧАСТЬЕ. Как никто не понял этого? — думала княжна Марья. — Никто, кроме этих презренных Божьих людей, которые с сумками за плечами приходят ко мне с заднего крыльца, боясь попасться на глаза князю, и не для того, чтобы не пострадать от него, а для того, чтобы его не ввести в грех. Оставить семью, родину, все заботы о мирских благах для того, чтобы, не прилепляясь ни к чему, ходить в посконном рубище, под чужим именем с места на место, не делая вреда людям и молясь за них, молясь и за тех, которые гонят, и за тех, которые покровительствуют: выше этой истины и жизни нет истины и жизни!»",счастие; радость,счастие;радостями;счастья;счастия;счастье,счастье;радость
